,Index,Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance,Total ERC20 tnxs,ERC20 total Ether received,ERC20 total ether sent,ERC20 total Ether sent contract,ERC20 uniq sent addr,ERC20 uniq rec addr,ERC20 uniq sent addr.1,ERC20 uniq rec contract addr,ERC20 avg time between sent tnx,ERC20 avg time between rec tnx,ERC20 avg time between rec 2 tnx,ERC20 avg time between contract tnx,ERC20 min val rec,ERC20 max val rec,ERC20 avg val rec,ERC20 min val sent,ERC20 max val sent,ERC20 avg val sent,ERC20 min val sent contract,ERC20 max val sent contract,ERC20 avg val sent contract,ERC20 uniq sent token name,ERC20 uniq rec token name,ERC20 most sent token type,ERC20_most_rec_token_type
0,1,0x00009277775ac7d0d59eaad8fee3d10ac6c805e8,0,844.26,1093.71,704785.63,721,89,0,40,118,0.0,45.806.785,6.589.513,0.0,31.22,1.200.681,0.0,0.0,0.0,810,8.656.910.932,5.864.666.748,0.0,-2.792.244.185,265.0,35588543.78,35603169.52,0.0,30.0,54.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2.655.861.476,0.0,16830998.35,271779.92,0.0,0.0,0.0,39.0,57.0,Cofoundit,Numeraire
1,2,0x0002b44ddb1476db43c868bd494422ee4c136fed,0,12709.07,2958.44,1218216.73,94,8,0,5,14,0.0,2.613.269,385.685,0.0,1.8,32.844,0.0,0.0,0.0,102,308.729.702,3.085.478.209,0.0,-1.818.811,8.0,4.034.283.054,2.260.809.454,0.0,1.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,365.0,57.632.615,2.260.809,2.260.809,2.260.809,0.0,0.0,0.0,1.0,7.0,Livepeer Token,Livepeer Token
2,3,0x0002bda54cb772d040f779e88eb453cac0daa244,0,246194.54,2434.02,516729.3,2,10,0,10,2,113.119,1.165.453,358.906,0.05,3.538.616,17.943.080.000.000.000,0.0,0.0,0.0,12,358.861.565,358.905.665,0.0,441,8.0,5.215.120.705,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,44.281.984.000.000.000,65.189.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,None,XENON
3,4,0x00038e6ba2fd5c09aedb96697c8d7b8fa6632e5e,0,10219.6,15785.09,397555.9,25,9,0,7,13,0.0,500.0,9.948.884,0.0,450.0,70.001.834,0.0,0.0,0.0,34,17.500.458.620.000.000,895.399.559,0.0,-8.546.463.028.999.990,14.0,1.711.105.191,1.141.223.068,0.0,2.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.141.223.068,1.555.550.174,100.0,902.923.068,3.804.076.893,0.0,0.0,0.0,1.0,11.0,Raiden,XENON
4,5,0x00062d1dd1afb6fb02540ddad9cdebfe568e0d89,0,36.61,10707.77,382472.42,4598,20,1,7,19,0.0,12.802.411,2.671.095,0.0,9.0,22.688,0.0,0.0,0.0,4619,1.043.188.828,534.218.965,0.0,-5.089.698.629,42.0,1.628.296.609,1.235.399.329,0.0,4.0,23.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,90000.0,4.934.232.147,0.0,45000.0,1.372.665.922,0.0,0.0,0.0,6.0,27.0,StatusNetwork,EOS
5,6,0x000895ad78f4403ecd9468900e68d6ee506136fd,0,9900.12,375.48,20926.68,2,3,0,2,1,7.241.479.999.999.990,4.813.776,32.349.080.000.000.000,4.1668,55.369.160.000.000.000,4.851.858,0.0,0.0,0.0,5,970.371.586,970.472.386,0.0,1.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,7,0x000d63fc5df52b0204374c2f5a3249779805d5d1,0,69.46,629.44,8660.35,25,11,0,9,20,49,2.65,1.098.115,9.457,4.284.785,482.496,0.0,0.0,0.0,36,120.623.941,12.079.266,0.0,16.871.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,8,0x000e001ab444fa8d6dc4a402f8d7cfc88fe8c64d,0,1497.39,176.84,319828.05,213,5,0,3,3,11.849,2.0,891.098,0.0,0.7,40.861,0.0,0.0,0.0,218,8.703.392.156,445.548.974,0.0,-42.479.024.160.000.000,7.0,397.951.964,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,365.0,56.850.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,None,XENON
8,9,0x0012cb699c836049a4bbeaac2d8c4d47c688e0e4,0,0.0,0.0,496.62,1,1,0,1,1,2.0,2.0,2.0,199.938,199.938,199.938,0.0,0.0,0.0,2,199.938,2.0,0.0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,10,0x0012f247c9f980eea0a9ad06893bfd95c3145794,0,2570.59,3336.01,30572.7,8,3,0,2,4,0.1,40.0,16.7,0.1,40.0,18.634.625,0.0,0.0,0.0,11,149.077,50.1,0.0,-98.977,1.0,600.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,AICRYPTO
10,11,0x0013e58a315d2e728f11630aa40abfbdddcab304,0,32.45,12921.57,129540.15,10,10,0,2,1,1.000.052,1.014.875,1.004.819,999.088,101.417,1.004.055,0.0,0.0,0.0,20,1.004.055.439,1.004.819.041,0.0,7.636.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11,12,0x0016338abcb6bfa6d355adc207c5d2d42acb5e42,0,3716.41,1448.09,385961.98,8,246,0,4,3,118.061,8.138.600.000.000.000,3.381.313,0.01,300.0,103.974.875,0.0,0.0,0.0,254,831.799,8.318.030.477.000.000,0.0,4.047.714,8.0,6.193.025.913,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.035.631.891,774.128.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,None,XENON
12,13,0x001b28141562bc2601694d27c3f5fda2c06c234c,0,0.0,12431.27,198900.25,0,16,1,4,0,0.0,1.002.069,769.166,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,1.230.665.958,0.0,1.230.665.958,2.0,181.283.664,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.536.699.999.999.990,105.917,90.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,None,DATAcoin
13,14,0x001cb265c5606d79035059686ae5f94c6a4c2c2c,0,9520.7,5776.32,78197.58,7,2,0,2,4,95,26.515.900.000.000.000,180.079,0.0,133.441,37.563,0.0,0.0,0.0,9,262.941.117,36.015.854,0.0,97.217.423,3.0,8.001,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,5.0,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,None,PoSToken
